World Rank,Institution,Country,National Rank,Quality of Education Rank,Alumni Employment Rank,Quality of Faculty Rank,Research Performance Rank,Score
885,Norwegian School of Economics,Norway,6,457.0,41.0,0.0,0.0,71.0
886,Portland State University,USA,201,0.0,365.0,0.0,888.0,70.9
887,Budapest University of Technology and Economics,Hungary,5,221.0,1476.0,0.0,871.0,70.9
888,Jaume I University,Spain,31,0.0,0.0,0.0,842.0,70.9
889,University of Seoul,South Korea,28,0.0,0.0,0.0,843.0,70.9
890,Gachon University,South Korea,29,0.0,0.0,0.0,844.0,70.9
891,Polytechnic University of Bucharest,Romania,2,0.0,0.0,0.0,846.0,70.9
892,Peter the Great St. Petersburg Polytechnic University,Russia,15,495.0,922.0,0.0,850.0,70.9
893,New Mexico State University,USA,202,465.0,718.0,0.0,858.0,70.9
894,Nihon University,Japan,32,513.0,1191.0,0.0,848.0,70.9
895,University of Stirling,United Kingdom,57,0.0,618.0,0.0,863.0,70.9
896,Federal University of ABC,Brazil,16,0.0,0.0,0.0,847.0,70.9
897,University of Hyogo,Japan,33,0.0,0.0,95.0,1325.0,70.9
898,East Carolina University,USA,203,0.0,801.0,0.0,859.0,70.9
899,ShanghaiTech University,China,117,0.0,0.0,0.0,851.0,70.9
900,Inje University,South Korea,30,0.0,0.0,0.0,853.0,70.9
901,"University of Technology, Malaysia",Malaysia,5,0.0,0.0,0.0,854.0,70.8
902,Keele University,United Kingdom,58,0.0,1542.0,0.0,855.0,70.8
903,University of Valladolid,Spain,32,0.0,1207.0,0.0,856.0,70.8
904,Michigan Technological University,USA,204,347.0,1051.0,0.0,864.0,70.8
905,Guangxi University,China,118,0.0,0.0,0.0,857.0,70.8
906,North Dakota State University,USA,205,302.0,1036.0,0.0,872.0,70.8
907,Ningbo University,China,119,0.0,1262.0,0.0,860.0,70.8
908,University of Portsmouth,United Kingdom,59,0.0,1082.0,0.0,862.0,70.8
909,London Business School,United Kingdom,60,0.0,55.0,0.0,1629.0,70.8
910,Institut national de la recherche scientifique,Canada,26,0.0,0.0,0.0,866.0,70.8
911,Oberlin College,USA,206,26.0,0.0,0.0,0.0,70.8
912,Federal University of Vi??osa,Brazil,17,0.0,0.0,0.0,868.0,70.8
913,??ukurova University,Turkey,9,0.0,1549.0,0.0,869.0,70.8
914,University of Windsor,Canada,27,0.0,183.0,0.0,980.0,70.8
915,Tokushima University,Japan,34,136.0,799.0,0.0,938.0,70.8
916,Missouri University of Science and Technology,USA,207,0.0,399.0,0.0,904.0,70.8
917,University of Poitiers,France,40,334.0,0.0,0.0,877.0,70.7
918,Paul Val??ry University,France,41,0.0,0.0,0.0,873.0,70.7
919,"University of Science and Technology, Korea",South Korea,31,0.0,0.0,0.0,874.0,70.7
920,Zhejiang Normal University,China,120,0.0,0.0,0.0,875.0,70.7
921,Ulster University,United Kingdom,61,0.0,1499.0,0.0,876.0,70.7
922,Northumbria University,United Kingdom,62,0.0,833.0,0.0,882.0,70.7
923,Meijo University,Japan,35,0.0,0.0,47.0,1866.0,70.7
924,North-West University,South Africa,7,0.0,0.0,0.0,879.0,70.7
925,Shandong First Medical University & Shandong Academy of Medical Sciences,China,121,0.0,0.0,0.0,880.0,70.7
926,Johannes Kepler University Linz,Austria,10,0.0,886.0,0.0,887.0,70.7
927,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,Russia,16,40.0,0.0,214.0,0.0,70.7
928,Pepperdine University,USA,208,93.0,77.0,158.0,0.0,70.7
929,Federal University of Cear?�,Brazil,18,0.0,1401.0,0.0,883.0,70.7
930,Federal University of Pelotas,Brazil,19,0.0,0.0,0.0,885.0,70.7
931,Gabriele d�??Annunzio University,Italy,46,0.0,0.0,0.0,889.0,70.7
932,Ritsumeikan University,Japan,36,0.0,615.0,0.0,902.0,70.6
933,Claremont McKenna College,USA,209,0.0,39.0,0.0,0.0,70.6
934,Makerere University,Uganda,1,0.0,1405.0,0.0,890.0,70.6
935,Shiraz University,Iran,9,0.0,0.0,0.0,891.0,70.6
936,Bucknell University,USA,210,0.0,51.0,0.0,1811.0,70.6
937,Chungbuk National University,South Korea,32,0.0,0.0,0.0,892.0,70.6
938,Indian Institute of Technology Guwahati,India,16,0.0,0.0,0.0,893.0,70.6
939,"University of the Republic, Uruguay",Uruguay,1,0.0,1572.0,0.0,894.0,70.6
940,Bilkent University,Turkey,10,0.0,847.0,0.0,901.0,70.6
941,National University of C??rdoba,Argentina,3,0.0,0.0,0.0,895.0,70.6
942,Sanford Burnham Prebys Medical Discovery Institute,USA,211,0.0,0.0,0.0,896.0,70.6
943,Medical University of Warsaw,Poland,9,0.0,0.0,0.0,897.0,70.6
944,Chiang Mai University,Thailand,3,0.0,1538.0,0.0,898.0,70.6
945,Khalifa University,United Arab Emirates,1,0.0,0.0,0.0,899.0,70.6
946,Mohammed V University,Morocco,1,0.0,0.0,0.0,900.0,70.6
947,Colgate University,USA,212,0.0,47.0,0.0,1985.0,70.6
948,New Jersey Institute of Technology,USA,213,422.0,696.0,0.0,914.0,70.5
949,Lappeenranta University of Technology,Finland,8,0.0,721.0,0.0,912.0,70.5
950,Tokyo University of Agriculture and Technology,Japan,37,0.0,0.0,0.0,905.0,70.5
951,University of Regina,Canada,28,0.0,0.0,0.0,906.0,70.5
952,Tunis El Manar University,Tunisia,1,0.0,0.0,0.0,907.0,70.5
953,Anhui Medical University,China,122,0.0,0.0,0.0,908.0,70.5
954,University of Franche-Comt??,France,42,488.0,0.0,0.0,910.0,70.5
955,Autonomous University of San Luis Potos??,Mexico,5,0.0,0.0,0.0,909.0,70.5
956,Yanshan University,China,123,0.0,1329.0,0.0,913.0,70.5
957,Aston University,United Kingdom,63,0.0,549.0,0.0,933.0,70.5
958,University of Naples Parthenope,Italy,47,0.0,0.0,0.0,915.0,70.5
959,Pomona College,USA,214,32.0,871.0,271.0,0.0,70.5
960,Qingdao University of Science and Technology,China,124,0.0,1196.0,0.0,918.0,70.5
961,Shandong Agricultural University,China,125,0.0,0.0,0.0,916.0,70.5
962,King Juan Carlos University,Spain,33,0.0,0.0,0.0,917.0,70.5
963,University of Limerick,Ireland,5,0.0,715.0,0.0,929.0,70.5
964,Ehime University,Japan,38,0.0,1091.0,0.0,919.0,70.4
965,University of Memphis,USA,215,0.0,442.0,0.0,948.0,70.4
966,Xiangtan University,China,126,0.0,1031.0,0.0,923.0,70.4
967,Tokai University,Japan,39,0.0,0.0,0.0,920.0,70.4
968,Federal University of S?�o Carlos,Brazil,20,0.0,0.0,0.0,921.0,70.4
969,University of Upper Alsace,France,43,0.0,0.0,0.0,922.0,70.4
970,Victoria University,Australia,26,0.0,0.0,0.0,924.0,70.4
971,University of Sassari,Italy,48,0.0,0.0,0.0,925.0,70.4
972,University of Texas Rio Grande Valley,USA,216,0.0,0.0,0.0,926.0,70.4
973,Ferdowsi University of Mashhad,Iran,10,0.0,0.0,0.0,927.0,70.4
974,Shandong Normal University,China,127,0.0,0.0,0.0,928.0,70.4
975,Taiyuan University of Technology,China,128,0.0,1296.0,0.0,932.0,70.4
976,Wroclaw Medical University,Poland,10,0.0,0.0,0.0,931.0,70.4
977,Gifu University,Japan,40,0.0,724.0,0.0,939.0,70.4
978,Florida Institute of Technology,USA,217,0.0,709.0,0.0,943.0,70.4
979,Fluminense Federal University,Brazil,21,0.0,958.0,0.0,937.0,70.4
980,Hunter College,USA,218,151.0,1260.0,0.0,992.0,70.4
981,Qatar University,Qatar,1,0.0,828.0,0.0,940.0,70.3
982,Henan Normal University,China,129,0.0,0.0,0.0,934.0,70.3
983,ITMO University,Russia,17,0.0,0.0,0.0,935.0,70.3
984,Mansoura University,Egypt,3,0.0,0.0,0.0,936.0,70.3
985,Wroc�?aw University of Science and Technology,Poland,11,0.0,898.0,0.0,941.0,70.3
986,Miguel Hern?�ndez University of Elche,Spain,34,0.0,0.0,0.0,942.0,70.3
987,Federal University of Juiz de Fora,Brazil,22,0.0,0.0,0.0,944.0,70.3
988,Shahid Beheshti University of Medical Sciences,Iran,11,0.0,0.0,0.0,945.0,70.3
989,Cheung Kong Graduate School of Business,China,130,0.0,33.0,0.0,0.0,70.3
990,Fujian Agriculture and Forestry University,China,131,0.0,0.0,0.0,947.0,70.3
991,Osaka Prefecture University,Japan,41,0.0,680.0,0.0,961.0,70.3
992,Shanghai Normal University,China,132,0.0,1287.0,0.0,951.0,70.3
993,University of A Coru?�a,Spain,35,0.0,1458.0,0.0,949.0,70.3
994,University of Tabriz,Iran,12,0.0,0.0,0.0,950.0,70.3
995,Hunan Normal University,China,133,0.0,0.0,0.0,952.0,70.3
996,Hallym University,South Korea,33,0.0,0.0,0.0,953.0,70.3
997,Marmara University,Turkey,11,0.0,0.0,0.0,954.0,70.2
998,Hangzhou Dianzi University,China,134,0.0,1181.0,0.0,955.0,70.2
999,Alexandria University,Egypt,4,409.0,1576.0,0.0,957.0,70.2
1000,American University,USA,219,0.0,361.0,0.0,999.0,70.2
1001,University of Extremadura,Spain,36,0.0,0.0,0.0,956.0,70.2
1002,Federal University of Rio Grande do Norte,Brazil,23,0.0,0.0,0.0,958.0,70.2
1003,Capital Normal University,China,135,0.0,920.0,0.0,960.0,70.2
1004,Creighton University,USA,220,0.0,0.0,0.0,959.0,70.2
1005,Louisiana Tech University,USA,221,0.0,320.0,0.0,1011.0,70.2
1006,Yamagata University,Japan,42,0.0,0.0,0.0,962.0,70.2
1007,Tokyo Women's Medical University,Japan,43,0.0,0.0,0.0,963.0,70.2
1008,University of Toyama,Japan,44,0.0,603.0,0.0,976.0,70.2
1009,University of Mannheim,Germany,53,0.0,832.0,0.0,966.0,70.2
1010,University of Bucharest,Romania,3,356.0,0.0,0.0,969.0,70.2
1011,VetAgro Sup,France,44,0.0,0.0,0.0,965.0,70.2
1012,Academy of Scientific & Innovative Research,India,17,0.0,0.0,0.0,967.0,70.2
1013,Kunming University of Science and Technology,China,136,0.0,0.0,0.0,968.0,70.2
1014,Medical University of Lodz,Poland,12,0.0,0.0,0.0,971.0,70.1
1015,Sogang University,South Korea,34,0.0,632.0,0.0,991.0,70.1
1016,Nicolaus Copernicus University,Poland,13,0.0,0.0,0.0,973.0,70.1
1017,Nantong University,China,137,0.0,0.0,0.0,974.0,70.1
1018,Yunnan University,China,138,0.0,1521.0,0.0,977.0,70.1
1019,Federal University of Bahia,Brazil,24,0.0,1424.0,0.0,978.0,70.1
1020,United States Naval Academy,USA,222,68.0,170.0,0.0,1679.0,70.1
1021,University of Shanghai for Science and Technology,China,139,0.0,0.0,0.0,979.0,70.1
1022,University of Texas at El Paso,USA,223,0.0,1009.0,0.0,984.0,70.1
1023,National Taiwan Normal University,Taiwan,14,0.0,1183.0,0.0,983.0,70.1
1024,SUNY Upstate Medical University,USA,224,0.0,0.0,0.0,981.0,70.1
1025,Royal College of Surgeons in Ireland,Ireland,6,0.0,0.0,0.0,982.0,70.1
1026,Federal University of Santa Maria,Brazil,25,0.0,968.0,0.0,986.0,70.1
1027,Babson College,USA,225,0.0,42.0,0.0,0.0,70.1
1028,Mohamed First University Oujda,Morocco,2,0.0,0.0,0.0,985.0,70.1
1029,Chuo University,Japan,45,0.0,71.0,0.0,1631.0,70.1
1030,Rouen Normandy University,France,45,458.0,0.0,0.0,987.0,70.1
1031,Brandenburg University of Technology,Germany,54,0.0,0.0,0.0,988.0,70.0
1032,Jadavpur University,India,18,0.0,1266.0,0.0,989.0,70.0
1033,Manhattan College,USA,226,0.0,110.0,0.0,1285.0,70.0
1034,Cadi Ayyad University,Morocco,3,0.0,0.0,0.0,990.0,70.0
1035,Guangzhou University,China,140,0.0,945.0,0.0,993.0,70.0
1036,"University of New England, Australia",Australia,27,0.0,656.0,0.0,1004.0,70.0
1037,Edith Cowan University,Australia,28,0.0,1224.0,0.0,994.0,70.0
1038,??cole nationale sup??rieure de chimie de Montpellier,France,46,0.0,0.0,0.0,995.0,70.0
1039,Sichuan Agricultural University,China,141,0.0,0.0,0.0,996.0,70.0
1040,Gaziantep University,Turkey,12,0.0,0.0,0.0,997.0,70.0
1041,Qufu Normal University,China,142,0.0,0.0,0.0,998.0,70.0
1042,Nanjing Forestry University,China,143,0.0,0.0,0.0,1000.0,70.0
1043,Villanova University,USA,227,408.0,137.0,0.0,1208.0,70.0
1044,Dublin City University,Ireland,7,0.0,844.0,0.0,1005.0,70.0
1045,Y��ld��z Technical University,Turkey,13,0.0,1138.0,0.0,1001.0,70.0
1046,National Taipei University of Technology,Taiwan,15,0.0,733.0,0.0,1010.0,70.0
1047,Paderborn University,Germany,55,0.0,1351.0,0.0,1002.0,70.0
1048,Kagoshima University,Japan,46,0.0,741.0,0.0,1013.0,69.9
1049,Gunma University,Japan,47,0.0,0.0,0.0,1003.0,69.9
1050,University of Urbino,Italy,49,0.0,1173.0,0.0,1007.0,69.9
1051,IMT Atlantique,France,47,0.0,0.0,0.0,1006.0,69.9
1052,University of South Bohemia,Czech Republic,5,0.0,0.0,0.0,1008.0,69.9
1053,University of Augsburg,Germany,56,0.0,0.0,0.0,1009.0,69.9
1054,University of New Brunswick,Canada,29,0.0,851.0,0.0,1015.0,69.9
1055,Rochester Institute of Technology,USA,228,0.0,1079.0,0.0,1012.0,69.9
1056,Smith College,USA,229,52.0,279.0,0.0,1940.0,69.9
1057,Auckland University of Technology,New Zealand,6,0.0,0.0,0.0,1014.0,69.9
1058,Fordham University,USA,230,0.0,213.0,0.0,1127.0,69.9
1059,University of Maribor,Slovenia,2,0.0,0.0,0.0,1016.0,69.9
1060,University of C?�diz,Spain,37,0.0,0.0,0.0,1017.0,69.9
1061,Federal University of Goi?�s,Brazil,26,0.0,0.0,0.0,1018.0,69.9
1062,University of Puerto Rico at Mayag?�ez,USA,231,0.0,0.0,0.0,1019.0,69.9
1063,University of Antioquia,Colombia,3,0.0,1234.0,0.0,1020.0,69.9
1064,Nara Institute of Science and Technology,Japan,48,0.0,0.0,0.0,1021.0,69.9
1065,Florida Atlantic University,USA,232,0.0,0.0,0.0,1022.0,69.9
1066,Australian Catholic University,Australia,29,0.0,1528.0,0.0,1023.0,69.8
1067,Kazan Federal University,Russia,18,0.0,1556.0,0.0,1024.0,69.8
1068,Worcester Polytechnic Institute,USA,233,0.0,165.0,0.0,1200.0,69.8
1069,Dankook University,South Korea,35,0.0,1275.0,0.0,1025.0,69.8
1070,University of Salzburg,Austria,11,0.0,606.0,0.0,1041.0,69.8
1071,Singapore University of Technology and Design,Singapore,3,0.0,0.0,0.0,1026.0,69.8
1072,Jichi Medical University,Japan,49,0.0,0.0,0.0,1027.0,69.8
1073,Kharkov Institute of Physics and Technology,Ukraine,1,0.0,0.0,0.0,1028.0,69.8
1074,University of Ja??n,Spain,38,0.0,0.0,0.0,1029.0,69.8
1075,Hassan II University of Casablanca,Morocco,4,0.0,0.0,0.0,1030.0,69.8
1076,Fujian Normal University,China,144,0.0,0.0,0.0,1031.0,69.8
1077,University of North Carolina at Greensboro,USA,234,0.0,0.0,0.0,1032.0,69.8
1078,Institute of Solid State Physics of the Russian Academy of Sciences,Russia,19,41.0,0.0,0.0,0.0,69.8
1079,Mersin University,Turkey,14,0.0,0.0,0.0,1033.0,69.8
1080,Medical University of Silesia,Poland,14,0.0,0.0,0.0,1034.0,69.8
1081,Paracelsus Medical University,Austria,12,0.0,0.0,0.0,1035.0,69.8
1082,Aga Khan University,Pakistan,3,0.0,0.0,0.0,1036.0,69.8
1083,Zhejiang Sci-Tech University,China,145,0.0,1268.0,0.0,1038.0,69.7
1084,University of Novi Sad,Serbia,2,0.0,0.0,0.0,1037.0,69.7
1085,Fujian Medical University,China,146,0.0,0.0,0.0,1039.0,69.7
1086,Nagoya City University,Japan,50,0.0,775.0,0.0,1051.0,69.7
1087,Medical University of Gda�?sk,Poland,15,0.0,0.0,0.0,1040.0,69.7
1088,Charles Darwin University,Australia,30,0.0,0.0,0.0,1042.0,69.7
1089,??bo Akademi University,Finland,9,0.0,0.0,0.0,1044.0,69.7
1090,University of P??cs,Hungary,6,0.0,0.0,0.0,1045.0,69.7
1091,Charles Sturt University,Australia,31,0.0,1267.0,0.0,1047.0,69.7
1092,Indian Association for the Cultivation of Science,India,19,0.0,0.0,0.0,1046.0,69.7
1093,Pablo de Olavide University,Spain,39,0.0,0.0,0.0,1048.0,69.7
1094,University of Lleida,Spain,40,0.0,0.0,0.0,1049.0,69.7
1095,Toho University,Japan,51,0.0,0.0,0.0,1050.0,69.7
1096,College of the Holy Cross,USA,235,184.0,56.0,0.0,0.0,69.7
1097,University of Calcutta,India,20,521.0,591.0,249.0,1183.0,69.7
1098,Liverpool School of Tropical Medicine,United Kingdom,64,0.0,0.0,0.0,1052.0,69.7
1099,University of Hertfordshire,United Kingdom,65,0.0,0.0,0.0,1053.0,69.7
1100,Copenhagen Business School,Denmark,6,0.0,204.0,0.0,1194.0,69.7
1101,Loma Linda University,USA,236,0.0,0.0,0.0,1054.0,69.6
1102,Visva-Bharati University,India,21,0.0,0.0,0.0,1055.0,69.6
1103,University of Thessaly,Greece,7,0.0,0.0,0.0,1056.0,69.6
1104,"University of Veterinary Medicine, Vienna",Austria,13,0.0,0.0,0.0,1057.0,69.6
1105,Shahid Beheshti University,Iran,13,0.0,0.0,0.0,1058.0,69.6
1106,Teikyo University,Japan,52,0.0,0.0,0.0,1059.0,69.6
1107,University of Neuch?�tel,Switzerland,12,0.0,0.0,0.0,1060.0,69.6
1108,Maria Sklodowska-Curie National Research Institute of Oncology,Poland,16,0.0,0.0,0.0,1061.0,69.6
1109,University of Kassel,Germany,57,0.0,0.0,0.0,1062.0,69.6
1110,University of ??vry Val d'Essonne,France,48,0.0,0.0,0.0,1063.0,69.6
1111,Manchester Metropolitan University,United Kingdom,66,0.0,933.0,0.0,1068.0,69.6
1112,Institute of Science and Technology Austria,Austria,14,0.0,0.0,196.0,1361.0,69.6
1113,University of Waikato,New Zealand,7,0.0,653.0,0.0,1079.0,69.6
1114,University of Canberra,Australia,32,0.0,1471.0,0.0,1064.0,69.6
1115,University of Massachusetts Lowell,USA,237,0.0,863.0,0.0,1072.0,69.6
1116,"University of Chemistry and Technology, Prague",Czech Republic,6,0.0,0.0,0.0,1065.0,69.6
1117,"California State University, Fresno",USA,238,0.0,0.0,0.0,1066.0,69.6
1118,Chemnitz University of Technology,Germany,58,0.0,1439.0,0.0,1067.0,69.6
1119,Soonchunhyang University,South Korea,36,0.0,0.0,0.0,1069.0,69.5
1120,Hubei University,China,147,0.0,1346.0,0.0,1071.0,69.5
1121,National Institute of Public Health (INSP),Mexico,6,0.0,0.0,0.0,1070.0,69.5
1122,South Dakota State University,USA,239,289.0,0.0,0.0,1085.0,69.5
1123,Ramon Llull University,Spain,41,0.0,306.0,0.0,1139.0,69.5
1124,"Indian Institute of Science Education and Research, Pune",India,22,0.0,0.0,0.0,1073.0,69.5
1125,Kyoto Prefectural University of Medicine,Japan,53,0.0,0.0,0.0,1074.0,69.5
1126,Tokat Gaziosmanpa�?a University,Turkey,15,0.0,0.0,0.0,1075.0,69.5
1127,Tiangong University,China,148,0.0,0.0,0.0,1076.0,69.5
1128,Postgraduate Institute of Medical Education and Research,India,23,0.0,0.0,0.0,1077.0,69.5
1129,Shantou University,China,149,0.0,0.0,0.0,1078.0,69.5
1130,Ural Federal University,Russia,20,0.0,1084.0,0.0,1082.0,69.5
1131,Shanghai University of Finance and Economics,China,150,0.0,122.0,0.0,1410.0,69.5
1132,Metropolitan Autonomous University,Mexico,7,0.0,0.0,0.0,1080.0,69.5
1133,San Francisco State University,USA,240,0.0,1097.0,0.0,1084.0,69.5
1134,Federal University of S?�o Jo?�o del-Rei,Brazil,27,0.0,0.0,0.0,1081.0,69.5
1135,Wright State University,USA,241,0.0,0.0,0.0,1083.0,69.5
1136,Marquette University,USA,242,0.0,316.0,0.0,1147.0,69.5
1137,New York Medical College,USA,243,0.0,0.0,0.0,1086.0,69.5
1138,University of Silesia in Katowice,Poland,17,0.0,0.0,0.0,1087.0,69.4
1139,Aligarh Muslim University,India,24,0.0,1527.0,0.0,1088.0,69.4
1140,National Defense Medical Center,Taiwan,16,0.0,0.0,0.0,1089.0,69.4
1141,Mie University,Japan,54,0.0,0.0,0.0,1090.0,69.4
1142,Dokuz Eyl?�l University,Turkey,16,0.0,0.0,0.0,1091.0,69.4
1143,University of Sfax,Tunisia,2,0.0,0.0,0.0,1092.0,69.4
1144,Yamaguchi University,Japan,55,0.0,0.0,0.0,1093.0,69.4
1145,��zmir Institute of Technology,Turkey,17,0.0,0.0,0.0,1094.0,69.4
1146,??cole centrale de Lyon,France,49,0.0,381.0,0.0,1140.0,69.4
1147,Jiangsu Normal University,China,151,0.0,1502.0,0.0,1095.0,69.4
1148,Hofstra University,USA,244,421.0,732.0,0.0,1105.0,69.4
1149,Howard University,USA,245,0.0,0.0,0.0,1096.0,69.4
1150,Addis Ababa University,Ethiopia,1,0.0,0.0,0.0,1097.0,69.4
1151,Bowdoin College,USA,246,108.0,81.0,0.0,0.0,69.4
1152,Pukyong National University,South Korea,37,0.0,0.0,0.0,1098.0,69.4
1153,United States Military Academy,USA,247,0.0,59.0,0.0,0.0,69.4
1154,Lule?� University of Technology,Sweden,13,0.0,0.0,0.0,1099.0,69.4
1155,Stevens Institute of Technology,USA,248,372.0,195.0,0.0,1295.0,69.4
1156,Ibero-American University,Mexico,8,0.0,238.0,0.0,1216.0,69.3
1157,Chung Shan Medical University,Taiwan,17,0.0,0.0,0.0,1100.0,69.3
1158,Jacobs University,Germany,59,0.0,0.0,0.0,1101.0,69.3
1159,Magna Graecia University of Catanzaro,Italy,50,0.0,0.0,0.0,1102.0,69.3
1160,Ko?? University,Turkey,18,0.0,0.0,0.0,1103.0,69.3
1161,University of Las Palmas de Gran Canaria,Spain,42,0.0,0.0,0.0,1104.0,69.3
1162,West University of Timi??oara,Romania,4,0.0,0.0,0.0,1106.0,69.3
1163,University of the Free State,South Africa,8,0.0,0.0,0.0,1107.0,69.3
1164,Guizhou University,China,152,0.0,1127.0,0.0,1110.0,69.3
1165,Osnabr?�ck University,Germany,60,0.0,0.0,0.0,1108.0,69.3
1166,University of Yamanashi,Japan,56,179.0,0.0,0.0,1154.0,69.3
1167,University of Ibadan,Nigeria,1,0.0,0.0,0.0,1109.0,69.3
1168,Anna University,India,25,530.0,1488.0,0.0,1111.0,69.3
1169,Santa Clara University,USA,249,0.0,106.0,0.0,1555.0,69.3
1170,University of Missouri-St. Louis,USA,250,0.0,384.0,0.0,1177.0,69.3
1171,Hebei University of Technology,China,153,0.0,1298.0,0.0,1112.0,69.3
1172,Khon Kaen University,Thailand,4,0.0,0.0,0.0,1113.0,69.3
1173,Maynooth University,Ireland,8,0.0,0.0,0.0,1114.0,69.3
1174,Ad��yaman University,Turkey,19,0.0,0.0,0.0,1115.0,69.3
1175,University of Western Brittany,France,50,0.0,0.0,0.0,1116.0,69.2
1176,Sant'Anna School of Advanced Studies,Italy,51,0.0,0.0,0.0,1117.0,69.2
1177,Nippon Medical School,Japan,57,0.0,0.0,0.0,1118.0,69.2
1178,University of Dayton,USA,251,211.0,136.0,0.0,1490.0,69.2
1179,"California Polytechnic State University, San Luis Obispo",USA,252,0.0,403.0,0.0,1182.0,69.2
1180,Tokyo Medical University,Japan,58,0.0,0.0,0.0,1119.0,69.2
1181,TOBB University of Economics and Technology,Turkey,20,0.0,0.0,0.0,1120.0,69.2
1182,Wilfrid Laurier University,Canada,30,0.0,531.0,0.0,1151.0,69.2
1183,Poznan University of Medical Sciences,Poland,18,0.0,0.0,0.0,1121.0,69.2
1184,Changzhou University,China,154,0.0,1334.0,0.0,1122.0,69.2
1185,Prince of Songkla University,Thailand,5,0.0,0.0,0.0,1123.0,69.2
1186,Nottingham Trent University,United Kingdom,67,0.0,645.0,0.0,1142.0,69.2
1187,Northeast Forestry University,China,155,0.0,0.0,0.0,1124.0,69.2
1188,Tianjin University of Technology,China,156,0.0,0.0,0.0,1125.0,69.2
1189,Clark University,USA,253,0.0,175.0,0.0,1365.0,69.2
1190,Assiut University,Egypt,5,0.0,1565.0,0.0,1128.0,69.2
1191,"Asia University, Taiwan",Taiwan,18,0.0,0.0,0.0,1129.0,69.2
1192,Oakland University,USA,254,0.0,0.0,0.0,1130.0,69.2
1193,University of North Dakota,USA,255,0.0,1048.0,0.0,1132.0,69.2
1194,Indian Agricultural Research Institute,India,26,95.0,1099.0,0.0,1421.0,69.1
1195,Kanazawa Institute of Technology,Japan,59,174.0,0.0,57.0,0.0,69.1
1196,Erciyes University,Turkey,21,0.0,0.0,0.0,1131.0,69.1
1197,Albany Medical College,USA,256,0.0,0.0,0.0,1133.0,69.1
1198,Kafkas University,Turkey,22,0.0,0.0,0.0,1134.0,69.1
1199,Federal University of Mato Grosso do Sul,Brazil,28,0.0,0.0,0.0,1135.0,69.1
1200,Tomsk Polytechnic University,Russia,21,0.0,0.0,0.0,1136.0,69.1
1201,Menlo College,USA,257,0.0,44.0,0.0,0.0,69.1
1202,Nanjing University of Chinese Medicine,China,157,0.0,0.0,0.0,1137.0,69.1
1203,University of Alabama in Huntsville,USA,258,0.0,0.0,0.0,1138.0,69.1
1204,Macau University of Science and Technology,China,158,0.0,564.0,0.0,1168.0,69.1
1205,Asian Institute of Management,Philippines,1,0.0,43.0,0.0,0.0,69.1
1206,Fu Jen Catholic University,Taiwan,19,0.0,777.0,0.0,1149.0,69.1
1207,University of Gda�?sk,Poland,19,0.0,1063.0,0.0,1145.0,69.1
1208,Jikei University,Japan,60,0.0,0.0,0.0,1141.0,69.1
1209,Suez Canal University,Egypt,6,0.0,0.0,0.0,1143.0,69.1
1210,University of the Ryukyus,Japan,61,0.0,0.0,0.0,1144.0,69.1
1211,Yokohama National University,Japan,62,0.0,301.0,0.0,1258.0,69.1
1212,Federal University of Par?�,Brazil,29,0.0,0.0,0.0,1146.0,69.1
1213,Toulouse 1 Capitole University,France,51,0.0,0.0,253.0,1303.0,69.0
1214,University of Bradford,United Kingdom,68,0.0,267.0,0.0,1281.0,69.0
1215,University of Picardie Jules Verne,France,52,0.0,0.0,0.0,1148.0,69.0
1216,"University of Puerto Rico, Medical Sciences Campus",USA,259,0.0,0.0,0.0,1150.0,69.0
1217,Carol Davila University of Medicine and Pharmacy,Romania,5,0.0,0.0,0.0,1152.0,69.0
1218,Hebei University,China,159,0.0,985.0,0.0,1155.0,69.0
1219,Huaqiao University,China,160,0.0,0.0,0.0,1153.0,69.0
1220,Dong-A University,South Korea,38,0.0,1003.0,0.0,1158.0,69.0
1221,Monterrey Institute of Technology and Higher Education,Mexico,9,0.0,351.0,0.0,1242.0,69.0
1222,Andr??s Bello University,Chile,5,0.0,1551.0,0.0,1156.0,69.0
1223,Brock University,Canada,31,0.0,0.0,0.0,1157.0,69.0
1224,Dalian Maritime University,China,161,0.0,960.0,0.0,1166.0,69.0
1225,"University of the West of England, Bristol",United Kingdom,69,484.0,0.0,0.0,1160.0,69.0
1226,Catholic University of America,USA,260,0.0,1008.0,0.0,1165.0,69.0
1227,Conservatoire national des arts et m??tiers,France,53,0.0,1391.0,0.0,1159.0,69.0
1228,Jiangxi Normal University,China,162,0.0,1417.0,0.0,1161.0,69.0
1229,Nagasaki Institute of Applied Science,Japan,63,0.0,0.0,0.0,1162.0,69.0
1230,Federal University of Para??ba,Brazil,30,0.0,0.0,0.0,1163.0,69.0
1231,Hunan Agricultural University,China,163,0.0,0.0,0.0,1164.0,69.0
1232,University of Lodz,Poland,20,482.0,1375.0,0.0,1169.0,69.0
1233,Dalian Medical University,China,164,0.0,0.0,0.0,1167.0,68.9
1234,Northeast Agricultural University,China,165,0.0,1152.0,0.0,1171.0,68.9
1235,Daegu Gyeongbuk Institute of Science and Technology,South Korea,39,0.0,0.0,0.0,1170.0,68.9
